,TL,TM,TR,ML,MM,MR,BL,BM,BL.1,MID,TMBL,TMBM,TMBR,LMRT,LMRM,LMRB,DP,DS,RTL,RTM,RTR,RML,RMM,RMR,RBL,RBM,RBR
0,b,b,b,b,b,b,b,b,x,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,b,b,b,x,o,b,b,b,x,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,x,o,b,x,o,b,b,b,x,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,b,b,b,x,o,x,b,b,b,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,b,o,b,x,o,x,x,b,b,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,b,b,b,b,b,x,b,b,b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,b,o,x,x,o,x,b,b,b,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,x,b,b,b,o,b,b,x,b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,x,b,b,x,o,o,b,x,b,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,x,x,b,x,o,o,o,x,b,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
13,b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,b,x,b,b,o,x,b,b,b,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,b,x,o,b,o,x,b,x,b,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
17,b,b,b,x,o,b,x,b,b,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,o,b,x,x,o,b,x,b,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
20,b,x,x,b,o,b,b,b,b,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
