,TL,TM,TR,ML,MM,MR,BL,BM,BL.1,MID,TMBL,TMBM,TMBR,LMRT,LMRM,LMRB,DP,DS,RTL
0,b,b,b,b,b,b,b,b,x,0,0,0,0,0,0,0,0,0,4
1,b,b,b,x,o,b,b,b,x,1,0,0,0,0,0,0,0,0,1
2,x,o,b,x,o,b,b,b,x,1,1,2,0,0,0,0,0,0,7
3,b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,4
4,b,b,b,x,o,x,b,b,b,1,0,0,0,0,0,0,0,0,1
5,b,o,b,x,o,x,x,b,b,1,1,2,0,0,0,0,0,0,7
6,b,b,b,b,b,x,b,b,b,0,0,0,0,0,0,0,0,0,4
7,b,o,x,x,o,x,b,b,b,1,0,2,1,0,0,0,0,0,7
8,b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,4
9,x,b,b,b,o,b,b,x,b,1,0,0,0,0,0,0,0,0,5
10,x,b,b,x,o,o,b,x,b,1,1,0,0,0,0,0,0,0,6
11,x,x,b,x,o,o,o,x,b,1,0,0,0,1,0,0,0,2,2
12,b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,4
13,b,x,b,b,o,x,b,b,b,1,0,0,0,0,0,0,0,0,2
14,b,x,o,b,o,x,b,x,b,1,0,0,0,0,0,0,0,2,6
15,b,b,b,x,o,b,x,b,b,1,1,0,0,0,0,0,0,0,0
16,o,b,x,x,o,b,x,b,b,1,0,0,0,0,0,0,2,0,8
17,b,x,x,b,o,b,b,b,b,1,0,0,0,1,0,0,0,0,0
18,o,x,x,b,o,b,b,b,x,1,0,0,1,0,0,0,0,0,5
19,o,x,x,b,o,o,x,b,x,1,0,0,0,0,2,1,0,0,3
20,b,x,b,b,o,b,x,b,b,1,0,0,0,0,0,0,0,0,5
21,b,x,b,x,o,o,x,b,b,1,1,0,0,0,0,0,0,0,0
22,o,x,x,x,o,o,x,b,b,1,0,0,0,0,0,0,2,0,8
23,b,x,b,b,o,b,b,x,b,1,0,0,0,0,0,0,0,0,3
24,b,x,b,o,o,b,b,x,x,1,0,0,0,0,2,1,0,0,5
25,b,b,b,b,b,b,x,b,b,0,0,0,0,0,0,0,0,0,4
26,o,x,b,x,o,b,x,b,b,1,0,0,0,0,0,0,2,0,8
27,b,b,b,b,x,b,b,b,b,1,0,0,0,0,0,0,0,0,0
28,o,b,b,b,x,b,x,b,b,1,0,0,0,0,0,0,0,1,2
29,o,b,o,x,x,b,x,b,b,1,0,0,0,2,1,0,0,0,1
30,x,b,b,x,o,b,b,b,b,1,1,0,0,0,0,0,0,0,6
31,x,b,b,x,o,b,o,b,x,1,0,0,0,0,0,0,0,2,2
32,b,b,b,b,o,b,b,x,x,1,0,0,0,0,0,1,0,0,6
33,b,b,x,b,o,b,o,x,x,1,0,0,1,0,0,0,0,0,5
34,b,x,x,b,o,o,o,x,x,1,0,0,0,1,2,0,0,0,3
35,x,b,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,4
36,x,b,x,b,o,b,b,b,b,1,0,0,0,1,0,0,0,0,1
37,x,o,x,x,o,b,b,b,b,1,1,2,0,0,0,0,0,0,7
38,o,b,b,b,x,b,b,b,x,1,0,0,0,0,0,0,0,0,2
39,o,x,o,b,x,b,b,b,x,1,0,1,0,0,0,0,0,0,7
40,o,x,o,b,x,b,x,o,x,1,0,0,0,0,0,0,0,0,3
41,b,x,b,b,o,b,b,b,x,1,0,0,0,0,0,0,0,0,3
42,b,x,b,o,o,b,x,b,x,1,0,0,0,0,2,1,0,0,5
43,b,b,b,b,o,x,x,b,b,1,0,0,0,0,0,0,0,0,1
44,b,o,x,b,o,x,x,b,b,1,0,2,1,0,0,0,0,0,7
45,b,b,b,x,o,b,b,x,b,1,0,0,0,0,0,0,0,0,6
46,b,b,b,x,o,x,o,x,b,1,0,0,0,0,0,0,0,2,2
47,x,b,b,b,o,b,o,x,x,1,0,0,0,0,0,0,0,2,2
48,x,b,x,x,o,b,o,b,b,1,0,0,0,1,0,0,0,0,1
49,x,o,x,x,o,x,o,b,b,1,0,2,1,0,0,0,0,0,7
50,b,x,o,b,o,x,b,b,x,1,0,0,0,0,0,0,0,2,6
51,o,b,x,b,x,b,b,b,b,1,0,0,0,0,0,0,0,1,6
52,o,b,x,b,x,b,o,x,b,1,2,1,0,0,0,0,0,0,3
53,x,b,b,b,o,b,b,b,x,1,0,0,0,0,0,0,0,0,1
54,x,o,b,b,o,b,b,x,x,1,0,0,0,0,0,1,0,0,6
55,x,o,x,b,o,b,o,x,x,1,0,0,1,0,0,0,0,0,5
56,x,b,b,x,o,x,o,b,b,1,0,0,0,0,0,0,0,2,2
57,b,b,x,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,4
58,b,b,x,x,o,b,b,b,b,1,0,0,0,0,0,0,0,0,7
59,b,x,x,x,o,b,b,o,b,1,0,0,0,1,0,0,0,0,0
60,o,x,x,x,o,b,b,o,x,1,0,0,1,0,0,0,0,0,5
61,x,b,b,b,o,x,b,b,b,1,0,0,0,0,0,0,0,0,7
62,x,x,b,b,o,x,b,o,b,1,0,0,0,1,0,0,0,0,2
63,x,x,o,b,o,x,x,o,b,1,1,0,0,0,0,0,0,0,3
64,x,b,x,b,o,x,b,o,b,1,0,2,1,1,0,0,0,0,1
65,b,b,b,b,o,b,x,b,x,1,0,0,0,0,0,1,0,0,7
66,b,x,b,b,o,b,x,o,x,1,0,0,0,0,0,0,0,0,3
67,x,x,b,o,o,b,x,o,x,1,0,0,0,1,2,0,0,0,5
68,o,b,o,b,x,b,b,x,x,1,0,1,0,2,0,1,0,0,1
69,b,b,x,b,o,x,b,b,b,1,0,0,1,0,0,0,0,0,8
70,x,b,x,b,o,x,b,b,o,1,0,0,0,1,0,0,0,0,1
71,x,o,x,x,o,x,b,b,o,1,1,2,0,0,0,0,0,0,7
72,b,b,x,x,o,x,b,b,o,1,0,0,0,0,0,0,2,0,0
73,b,b,b,b,o,x,o,x,x,1,0,0,1,0,0,0,0,2,2
74,o,b,b,b,x,b,b,x,b,1,0,1,0,0,0,0,0,0,1
75,o,o,b,b,x,b,x,x,b,1,0,0,0,2,0,1,0,1,2
76,x,b,b,x,o,o,o,x,x,1,0,0,0,0,0,0,0,2,2
77,b,x,b,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,5
78,b,b,x,b,o,b,x,b,b,1,0,0,0,0,0,0,0,0,1
79,x,o,x,b,o,b,x,b,b,1,1,2,0,0,0,0,0,0,7
80,x,x,b,o,o,b,b,b,x,1,0,0,0,1,2,0,0,0,5
81,o,x,x,b,o,b,x,b,b,1,0,0,0,0,0,0,2,0,8
82,o,x,x,b,o,b,b,x,b,1,0,0,0,0,0,0,2,0,8
83,b,b,x,b,o,b,b,x,b,1,0,0,0,0,0,0,0,0,3
84,b,b,x,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,5
85,b,o,x,b,o,b,x,b,x,1,0,2,1,0,0,1,0,0,7
86,x,o,b,b,o,b,x,b,x,1,1,2,0,0,0,1,0,0,7
87,b,b,x,x,o,x,b,o,b,1,0,2,1,0,0,0,0,0,1
88,o,b,b,b,x,x,b,b,b,1,0,0,0,0,1,0,0,0,3
89,o,x,b,o,x,x,b,b,b,1,2,1,0,0,0,0,0,0,6
90,o,b,x,b,x,b,o,b,x,1,2,0,1,0,0,0,0,0,3
91,x,x,b,b,o,o,b,x,b,1,0,0,0,1,2,0,0,0,3
92,b,b,x,o,o,b,b,x,x,1,0,0,1,0,2,1,0,0,5
